DATE,BROKER,TYPE,TICKER,ISIN,QUANTITY,UNIT PRICE,AMOUNT,CURRENCY
2020/11/11,REVOLUT,BUY,V,TBD,3.75957516,212.79,800,USD
2020/11/11,REVOLUT,BUY,PYPL,TBD,4.27122263,187.30,800,USD
2020/11/11,REVOLUT,BUY,MA,TBD,2.37459186,336.90,800,USD
2020/12/07,REVOLUT,BUY,DIS,TBD,5.75520833,153.60,884,USD
2020/12/07,REVOLUT,BUY,WORK,TBD,20.48192771,43.16,884,USD
2020/12/07,REVOLUT,BUY,NYT,TBD,15.68249893,46.74,733,USD
2020/12/15,TRADING 212,BUY,LOIL,JE00BDD9Q840,300.0000000000,4.06,1218.0,USD
2021/01/06,REVOLUT,BUY,XOM,TBD,17.89709172,44.70,800,USD
2021/01/13,REVOLUT,BUY,PLTR,TBD,18.08785529,27.09,490,USD
2021/01/13,TRADING 212,BUY,R2US,IE00BJ38QD84,20.0000000000,58.76,1175.2,USD
2021/01/13,TRADING 212,BUY,CNDX,IE00B53SZB19,3.0000000000,729.40,2188.2,USD
2021/01/13,TRADING 212,BUY,CNDX,IE00B53SZB19,0.3387123000,728.64,246.8,USD
2021/01/27,REVOLUT,BUY,MA,TBD,0.8220564,316.28,260,USD
2021/01/29,DEGIRO,BUY,NA,IE00B53SZB19,1.0,608.3000,608.30,EUR
2021/02/16,REVOLUT,BUY,BABA,TBD,2.94063591,272.05,800,USD
2021/02/25,TRADING 212,BUY,LOIL,JE00BDD9Q840,170.0000000000,7.27,1235.9,USD
2021/02/25,REVOLUT,BUY,PLTR,TBD,8.27980132,24.16,200,USD
2021/03/09,TRADING 212,BUY,CNDX,IE00B53SZB19,1.6640330000,708.30,1178.63,USD
2021/03/10,TRADING 212,SELL,LOIL,JE00BDD9Q840,300.0000000000,7.36,2208.0,USD
2021/03/17,DEGIRO,BUY,NA,IE00B1FZSC47,15.0,201.6300,3024.45,EUR
2021/03/17,DEGIRO,BUY,NA,IE00BFM6T921,210.0,5.6980,1196.58,EUR
2021/03/18,TRADING 212,SELL,LOIL,JE00BDD9Q840,170.0000000000,7.38,1254.6,USD
2021/05/06,REVOLUT,SELL,PLTR,TBD,26.36765661,19.66,518.41,USD
2021/08/19,REVOLUT,SELL,BABA,TBD,2.94063591,162.58,478.08,USD
2021/08/24,DEGIRO,BUY,NA,IE00BFM6T921,58.0,6.3660,369.23,EUR
2021/08/24,DEGIRO,BUY,NA,IE00BFM6T921,192.0,6.3650,1222.08,EUR
2021/08/24,DEGIRO,BUY,NA,IE00B1FZSC47,20.0,215.9700,4319.40,EUR
2021/08/24,DEGIRO,BUY,NA,FR0013416716,50.0,61.3350,3066.75,EUR
2021/10/22,TRADING 212,BUY,LOIL,JE00BDD9Q840,91.0000000000,12.35,1123.85,USD
2021/10/22,TRADING 212,BUY,LOIL,JE00BDD9Q840,10.6029470000,12.35,130.95,USD
2021/12/08,TRADING 212,BUY,LOIL,JE00BDD9Q840,58.0000000000,9.45,548.1,USD
2021/12/08,TRADING 212,BUY,LOIL,JE00BDD9Q840,7.4551300000,9.45,70.45,USD
2021/12/29,DEGIRO,BUY,NA,IE00BFM6T921,100.0,6.5700,657.00,EUR
2022/03/02,DEGIRO,BUY,NA,LU1829218582,20.0,25.8750,517.50,EUR
2022/03/02,REVOLUT,BUY,AMD,TBD,3.46350333,115.49,400,USD
2022/05/16,TRADING 212,SELL,LOIL,JE00BDD9Q840,14.3319660000,20.95,300.25,USD
2022/05/16,TRADING 212,SELL,LOIL,JE00BDD9Q840,125.0000000000,20.95,2618.75,USD
2022/05/31,REVOLUT,BUY,PYPL,TBD,3.54316759,84.67,300,USD
2022/07/14,REVOLUT,BUY,WPC,TBD,4.92065444,81.29,400,USD
2022/08/03,REVOLUT,BUY,NNN,TBD,8.37016112,47.79,400,USD
2022/08/04,TRADING 212,SELL,LOIL,JE00BDD9Q840,0.7261110000,16.28,11.82,USD
2022/08/04,TRADING 212,SELL,LOIL,JE00BDD9Q840,27.0000000000,16.28,439.56,USD
2022/09/05,TRADING 212,SELL,CNDX,IE00B53SZB19,3.6581000000,687.41,2514.61,USD
2022/09/05,TRADING 212,SELL,CNDX,IE00B53SZB19,1.3446453000,687.33,924.22,USD
2022/09/05,TRADING 212,SELL,R2US,IE00BJ38QD84,13.5820000000,51.04,693.23,USD
2022/09/05,TRADING 212,SELL,R2US,IE00BJ38QD84,6.4180000000,51.04,327.57,USD
2022/09/26,DEGIRO,BUY,NA,IE00BFM6T921,100.0,4.7980,479.80,EUR
2022/09/26,REVOLUT,SELL,CRM,TBD,1.58939759,147.27,234.05,USD
2022/09/29,DEGIRO,SELL,NA,IE00B1FZSC47,14.0,228.6500,3201.10,EUR
2022/09/29,DEGIRO,SELL,NA,IE00B1FZSC47,21.0,228.5100,4798.71,EUR
2022/12/02,DEGIRO,SELL,NA,LU1829218582,20.0,24.9050,498.10,EUR
2022/12/02,DEGIRO,BUY,NA,IE00BFM6T921,100.0,5.1770,517.70,EUR
2023/01/09,REVOLUT,BUY,BABA,TBD,1.79388285,111.49,200,USD
2023/01/12,DEGIRO,BUY,NA,FR0013416716,15.0,69.6500,1044.75,EUR
2023/01/12,DEGIRO,BUY,NA,IE00BFM6T921,100.0,5.2870,528.70,EUR
2023/01/12,DEGIRO,BUY,NA,IE00B53SZB19,2.0,601.3000,1202.60,EUR
2023/02/28,REVOLUT,BUY,MSFT,TBD,0.79923273,250.24,200,USD
2023/03/02,DEGIRO,BUY,NA,IE00BG47KH54,50.0,21.8440,1092.20,EUR
2023/03/02,DEGIRO,BUY,NA,US9113121068,5.0,182.8200,914.10,EUR
2023/03/21,TRADING 212,BUY,LOIL,JE00BDD9Q840,100.0000000000,9.55,955.0,USD
2023/04/20,TRADING 212,SELL,LOIL,JE00BDD9Q840,83.0000000000,12.03,998.49,USD
2023/04/20,TRADING 212,SELL,LOIL,JE00BDD9Q840,17.0000000000,12.03,204.51,USD
2023/05/16,REVOLUT,SELL,XOM,TBD,17.89709172,103.99,1861.13,USD
2023/05/17,REVOLUT,BUY,O,TBD,6.60463576,60.40,400,USD
2023/05/17,DEGIRO,BUY,NA,IE00BZ163M45,20.0,20.7480,414.96,EUR
2023/05/18,DEGIRO,BUY,NA,CA0641491075,10.0,46.1700,461.70,EUR
2023/06/22,DEGIRO,BUY,NA,IE00B1FZSC47,5.0,210.5000,1052.50,EUR
2023/06/22,DEGIRO,BUY,NA,CA8911605092,5.0,60.0600,300.30,EUR
2023/06/22,DEGIRO,BUY,NA,CA87971M1032,20.0,19.2200,384.40,EUR
2023/06/22,DEGIRO,BUY,NA,CA7800871021,3.0,94.2800,282.84,EUR
2023/06/22,REVOLUT,BUY,INTC,TBD,12.28562653,32.56,400,USD
2023/08/03,REVOLUT,BUY,O,TBD,6.65668164,60.09,400,USD
2023/08/10,DEGIRO,BUY,NA,CA87971M1032,2.0,17.6600,35.32,EUR
2023/08/10,DEGIRO,BUY,NA,CA87971M1032,4.0,17.6600,70.64,EUR
2023/08/10,DEGIRO,BUY,NA,CA87971M1032,1.0,17.6600,17.66,EUR
2023/08/10,DEGIRO,BUY,NA,CA87971M1032,13.0,17.6600,229.58,EUR
