DATE,BROKER,TYPE,TICKER,ISIN,QUANTITY,UNIT PRICE,AMOUNT,CURRENCY
2020/11/11,REVOLUT,BUY,V,,3.75957516,212.79,800,USD
2020/11/11,REVOLUT,BUY,PYPL,,4.27122263,187.30,800,USD
2020/11/11,REVOLUT,BUY,MA,,2.37459186,336.90,800,USD
2020/12/07,REVOLUT,BUY,DIS,,5.75520833,153.60,884,USD
2020/12/07,REVOLUT,BUY,WORK,,20.48192771,43.16,884,USD
2020/12/07,REVOLUT,BUY,NYT,,15.68249893,46.74,733,USD
2020/12/15,TRADING 212,BUY,LOIL,JE00BDD9Q840,300.0000000000,4.06,1218.0,USD
2021/01/06,REVOLUT,BUY,XOM,,17.89709172,44.70,800,USD
2021/01/13,REVOLUT,BUY,PLTR,,18.08785529,27.09,490,USD
2021/01/13,TRADING 212,BUY,R2US,IE00BJ38QD84,20.0000000000,58.76,1175.2,USD
2021/01/13,TRADING 212,BUY,CNDX,IE00B53SZB19,3.0000000000,729.40,2188.2,USD
2021/01/13,TRADING 212,BUY,CNDX,IE00B53SZB19,0.3387123000,728.64,246.799,USD
2021/01/27,REVOLUT,BUY,MA,,0.8220564,316.28,260,USD
2021/01/29,DEGIRO,BUY,,IE00B53SZB19,1,608.3,608.30,EUR
2021/02/16,REVOLUT,BUY,BABA,,2.94063591,272.05,800,USD
2021/02/25,TRADING 212,BUY,LOIL,JE00BDD9Q840,170.0000000000,7.27,1235.9,USD
2021/02/25,REVOLUT,BUY,PLTR,,8.27980132,24.16,200,USD
2021/03/09,TRADING 212,BUY,CNDX,IE00B53SZB19,1.6640330000,708.30,1178.635,USD
2021/03/10,TRADING 212,SELL,LOIL,JE00BDD9Q840,300.0000000000,7.36,2208.0,USD
2021/03/17,DEGIRO,BUY,,IE00B1FZSC47,15,201.63,3024.45,EUR
2021/03/17,DEGIRO,BUY,,IE00BFM6T921,210,5.698,1196.58,USD
2021/03/18,TRADING 212,SELL,LOIL,JE00BDD9Q840,170.0000000000,7.38,1254.6,USD
2021/05/06,REVOLUT,SELL,PLTR,,26.36765661,19.66,518.41,USD
2021/08/19,REVOLUT,SELL,BABA,,2.94063591,162.58,478.08,USD
2021/08/24,DEGIRO,BUY,,IE00BFM6T921,58,6.366,369.23,USD
2021/08/24,DEGIRO,BUY,,IE00BFM6T921,192,6.365,1222.08,USD
2021/08/24,DEGIRO,BUY,,IE00B1FZSC47,20,215.97,4319.40,EUR
2021/08/24,DEGIRO,BUY,,FR0013416716,50,61.335,3066.75,EUR
2021/10/22,TRADING 212,BUY,LOIL,JE00BDD9Q840,91.0000000000,12.35,1123.85,USD
2021/10/22,TRADING 212,BUY,LOIL,JE00BDD9Q840,10.6029470000,12.35,130.946,USD
2021/12/08,TRADING 212,BUY,LOIL,JE00BDD9Q840,58.0000000000,9.45,548.1,USD
2021/12/08,TRADING 212,BUY,LOIL,JE00BDD9Q840,7.4551300000,9.45,70.451,USD
2021/12/29,DEGIRO,BUY,,IE00BFM6T921,100,6.57,657.00,USD
2022/03/02,DEGIRO,BUY,,LU1829218582,20,25.875,517.50,EUR
2022/03/02,REVOLUT,BUY,AMD,,3.46350333,115.49,400,USD
2022/05/16,TRADING 212,SELL,LOIL,JE00BDD9Q840,14.3319660000,20.95,300.255,USD
2022/05/16,TRADING 212,SELL,LOIL,JE00BDD9Q840,125.0000000000,20.95,2618.75,USD
2022/05/31,REVOLUT,BUY,PYPL,,3.54316759,84.67,300,USD
2022/07/14,REVOLUT,BUY,WPC,,4.92065444,81.29,400,USD
2022/08/03,REVOLUT,BUY,NNN,,8.37016112,47.79,400,USD
2022/08/04,TRADING 212,SELL,LOIL,JE00BDD9Q840,0.7261110000,16.28,11.821,USD
2022/08/04,TRADING 212,SELL,LOIL,JE00BDD9Q840,27.0000000000,16.28,439.56,USD
2022/09/05,TRADING 212,SELL,CNDX,IE00B53SZB19,3.6581000000,687.41,2514.615,USD
2022/09/05,TRADING 212,SELL,CNDX,IE00B53SZB19,1.3446453000,687.33,924.215,USD
