Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2021-10-22 13:54:00,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",91.0000000000,12.35,USD,1.16459,,"EUR",966.01,"EUR",EOF1623814745,1.38,"EUR"
Market buy,2021-10-22 13:54:04,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",10.6029470000,12.35,USD,1.16459,,"EUR",112.61,"EUR",EOF1623814838,0.17,"EUR"
Market buy,2021-12-08 10:19:05,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",58.0000000000,9.45,USD,1.12727,,"EUR",486.69,"EUR",EOF1702951771,0.73,"EUR"
Market buy,2021-12-08 10:19:05,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",7.4551300000,9.45,USD,1.12727,,"EUR",62.57,"EUR",EOF1702951774,0.09,"EUR"
Market sell,2022-05-16 08:30:57,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",14.3319660000,20.95,USD,1.04265,148.52,"EUR",287.54,"EUR",EOF1912020208,0.43,"EUR"
Market sell,2022-05-16 08:30:57,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",125.0000000000,20.95,USD,1.04266,1295.32,"EUR",2507.83,"EUR",EOF1912020205,3.77,"EUR"
